PetID,Age,Quantity,Fee,VideoAmt,PhotoAmt,AdoptionSpeed,HasName_0,HasName_1,NameLen,NameNumWords,ThreeMonths_0,ThreeMonths_1,DomesticBreed_0,DomesticBreed_1,PureBreed_0,PureBreed_1,Breed_243,Breed_247,Breed_254,Breed_264,Breed_265,Breed_266,Breed_283,Breed_285,Breed_292,Breed_299,Breed_999,Gender_1,Gender_2,Gender_3,NumColor_1,NumColor_2,NumColor_3,Color_1,Color_2,Color_3,Color_4,Color_5,Color_6,Color_7,Size_1,Size_2,Size_3,FurLength_1,FurLength_2,Vaccinated_0,Vaccinated_1,Dewormed_0,Dewormed_1,Sterilized_0,Sterilized_1,Preparation_0,Preparation_1,Health_0,Health_1,Cost,Density,State_0,State_41325,State_41326,State_41327,State_41330,State_41332,State_41336,State_41401,RescuerFreq,Rescuer_09771cded8c18d94a16a6548377410a8,Rescuer_167119eeb94dec6c615c602952c527c8,Rescuer_438a9bdce8ef4d5948fc40e422d34d0d,Rescuer_5aca30a29e8290093fee2a334d65d835,Rescuer_90569c3f7cb0af35cba5dac82c0ac9d7,Rescuer_95eab75701bfbddafb9e1e01e1ee9214,Rescuer_999,Rescuer_b770bac0ca797cf1433c48a35d30c4cb,Rescuer_c00756f2bdd8fa88fc9f07a8309f7d5d,Rescuer_c6fa60201b7ca135608d592d7ac19ec4,Rescuer_e62135526c27156b8479420aad166317,Media_0,Media_1,DescLen,DescNumWords,active,adorable,beautiful,birth,box,cute,eyes,family,friendly,fur,good,healthy,indoor,little,lovely,mother,playful,siblings,sweet,trained
86e1089a3,3,1,100,0,1,0,0,1,6,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,1,359,69,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6296e909a,1,1,0,0,2,0,0,1,11,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.31554136253041365,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,118,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d24c30b4b,3,1,0,0,2,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,87,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c06d167ca,2,1,0,0,6,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,1,79,13,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
7a0942d61,12,1,0,0,2,1,0,1,5,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,232,45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8e76c8e39,3,1,50,0,2,0,0,1,4,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0.5556569343065694,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,1,658,126,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4a9793dfb,2,7,0,0,1,0,0,1,23,5,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,507,96,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
b38a74866,6,1,0,0,1,0,0,1,7,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0.5556569343065694,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,39,8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
b10e7605a,1,5,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,529,97,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
988988d5b,3,1,0,0,19,0,0,1,7,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,2,0.31554136253041365,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,0,0,0,0,0,1,209,42,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
cf7d3eec0,36,1,0,0,3,0,0,1,8,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0.5556569343065694,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,1,0,0,0,0,0,1,345,64,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0
85fc3c314,2,1,0,0,11,0,0,1,7,2,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.31554136253041365,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,54,9,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
efbf1703a,1,1,0,0,2,0,0,1,7,2,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,94,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d341fbfd6,1,1,0,0,1,0,0,1,6,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,2,0.032998783454987836,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,296,54,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
edb920079,1,1,0,0,1,0,0,1,5,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.0031934306569343066,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9415bc79e,4,2,0,0,7,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,338,58,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4c6fe4100,3,1,1,0,5,1,0,1,16,3,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1,2,0.032998783454987836,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0737e4f11,12,1,0,0,5,0,0,1,3,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61fa73996,24,3,0,0,2,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0.5556569343065694,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,30,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
eabb13cea,2,1,0,0,3,0,0,1,5,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,1,3,0.5556569343065694,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,209,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
